ExperimentName,Subject,Session,Age,ClockInformation,DataFileBasename,DisplayRefreshRate,ExperimentVersion,FirstLanguage,Group,Occupation,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,Sex,StudioVersion,Block,BlockList,BlockListCycle,BlockListSample,ProcedureBlock,RunningBlock,Trial,CrossLangDiff,Form_Form_Chinese,Form_Form_English,Form_Form_Spanish,HumanORComputer,MetaphorID,Novelty_Chinese,Novelty_European,PracList,PracListCycle,PracListSample,ProcedureTrial,Q1OnsetTime,Q1RESP,Q1RT,Q1RTTime,Q2RESP,Q2RT,Q2RTTime,Q3RESP,Q3RT,Q3RTTime,Q4RESP,Q4RT,Q4RTTime,RunningTrial,Stimuli,TrialList,TrialListCycle,TrialListSample
Tweet_Rating_Chinese_Right,43,1,18-30,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">38967280877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_Chinese_Right-43-1,59.822,1.0.0.374,中文,1,研究生,313235464,Professional,2.0.10.353,2.0.10.353,05-26-2015,2015-05-26T11:04:00Z,12:04:15.000000,女,2.0.10.248,4,4,1,4,BlockProc,BlockList,1,0,1,2,2,0,5,2,2,NA,NA,NA,TrialProc,266677,No,3361,270038,NA,0,0,3,3672,273726,0,866,274614,TrialList,音乐是一团安慰的火。,5,1,1
Tweet_Rating_Chinese_Right,43,1,18-30,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">38967280877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_Chinese_Right-43-1,59.822,1.0.0.374,中文,1,研究生,313235464,Professional,2.0.10.353,2.0.10.353,05-26-2015,2015-05-26T11:04:00Z,12:04:15.000000,女,2.0.10.248,4,4,1,4,BlockProc,BlockList,2,0,2,1,2,0,27,1,1,NA,NA,NA,TrialProc,279215,Yes,1854,281069,2,1534,282621,4,2507,285149,0,2023,287189,TrialList,艺术是一种美丽的爱。,27,1,2
Tweet_Rating_Chinese_Right,43,1,18-30,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">38967280877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_Chinese_Right-43-1,59.822,1.0.0.374,中文,1,研究生,313235464,Professional,2.0.10.353,2.0.10.353,05-26-2015,2015-05-26T11:04:00Z,12:04:15.000000,女,2.0.10.248,4,4,1,4,BlockProc,BlockList,3,0,1,1,2,0,43,3,3,NA,NA,NA,TrialProc,292320,No,4189,296509,NA,0,0,3,3120,299653,0,1737,301413,TrialList,疾病是温暖的光。,43,1,3
Tweet_Rating_Chinese_Right,43,1,18-30,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">38967280877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_Chinese_Right-43-1,59.822,1.0.0.374,中文,1,研究生,313235464,Professional,2.0.10.353,2.0.10.353,05-26-2015,2015-05-26T11:04:00Z,12:04:15.000000,女,2.0.10.248,4,4,1,4,BlockProc,BlockList,4,0,1,3,2,0,35,3,3,NA,NA,NA,TrialProc,306396,Yes,6008,312404,2,1486,313916,4,2013,315948,1,4622,320596,TrialList,权力是一杯纯净水。,35,1,4
Tweet_Rating_Chinese_Right,43,1,18-30,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">38967280877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_Chinese_Right-43-1,59.822,1.0.0.374,中文,1,研究生,313235464,Professional,2.0.10.353,2.0.10.353,05-26-2015,2015-05-26T11:04:00Z,12:04:15.000000,女,2.0.10.248,4,4,1,4,BlockProc,BlockList,5,0,2,1,2,0,19,3,3,NA,NA,NA,TrialProc,326205,No,7190,333395,NA,0,0,3,1650,335059,0,4362,339443,TrialList,障碍是平静的睡眠。,19,1,5
Tweet_Rating_Chinese_Right,43,1,18-30,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">38967280877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_Chinese_Right-43-1,59.822,1.0.0.374,中文,1,研究生,313235464,Professional,2.0.10.353,2.0.10.353,05-26-2015,2015-05-26T11:04:00Z,12:04:15.000000,女,2.0.10.248,4,4,1,4,BlockProc,BlockList,6,0,2,2,3,0,13,2,2,NA,NA,NA,TrialProc,343606,Yes,4917,348523,3,2273,350811,5,1239,352067,1,1513,353595,TrialList,生命是一杯诱人的葡萄酒。,13,1,6
Tweet_Rating_Chinese_Right,43,1,18-30,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">38967280877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_Chinese_Right-43-1,59.822,1.0.0.374,中文,1,研究生,313235464,Professional,2.0.10.353,2.0.10.353,05-26-2015,2015-05-26T11:04:00Z,12:04:15.000000,女,2.0.10.248,4,4,1,4,BlockProc,BlockList,7,0,3,2,2,0,37,1,1,NA,NA,NA,TrialProc,358066,Yes,2864,360930,2,940,361898,4,1843,363754,1,2323,366106,TrialList,爱情是一副美丽的图画。,37,1,7
Tweet_Rating_Chinese_Right,43,1,18-30,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">38967280877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_Chinese_Right-43-1,59.822,1.0.0.374,中文,1,研究生,313235464,Professional,2.0.10.353,2.0.10.353,05-26-2015,2015-05-26T11:04:00Z,12:04:15.000000,女,2.0.10.248,4,4,1,4,BlockProc,BlockList,8,0,2,3,1,0,14,2,2,NA,NA,NA,TrialProc,370754,Yes,3912,374666,2,1312,375994,4,1119,377138,0,438,377594,TrialList,语言是一种温柔的爱。,14,1,8
Tweet_Rating_Chinese_Right,43,1,18-30,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">38967280877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_Chinese_Right-43-1,59.822,1.0.0.374,中文,1,研究生,313235464,Professional,2.0.10.353,2.0.10.353,05-26-2015,2015-05-26T11:04:00Z,12:04:15.000000,女,2.0.10.248,4,4,1,4,BlockProc,BlockList,9,1,2,3,2,0,23,3,2,NA,NA,NA,TrialProc,382054,Yes,3539,385593,1,1210,386825,3,3309,390161,0,1327,391505,TrialList,真理是一首舒缓的音乐。,23,1,9
Tweet_Rating_Chinese_Right,43,1,18-30,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">38967280877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-05-26T11:04:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Tweet_Rating_Chinese_Right-43-1,59.822,1.0.0.374,中文,1,研究生,313235464,Professional,2.0.10.353,2.0.10.353,05-26-2015,2015-05-26T11:04:00Z,12:04:15.000000,女,2.0.10.248,4,4,1,4,BlockProc,BlockList,10,0,2,3,1,0,29,3,3,NA,NA,NA,TrialProc,396530,Yes,3407,399937,1,1140,401097,2,2090,403201,1,720,403937,TrialList,交易是一首轻松的音乐。,29,1,10
